"-- Please select --","-- Alegeti --"
"Enabled","Activat"
"Select Your Currency","Alege valuta"
"Currency Update Warnings","Alerte actualizari valute"
"WARNING:","ATENTIE:"
"Cannot retrieve rate from %s","Cannot retrieve rate from %s"
"Invalid country code: %s","Cod tara nevalid: %s"
"Continue &raquo;","Continua &raquo;"
"Country","Country"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Invalid rates received","Cursuri primite nevalide"
"Error Email Recipient","Destinatar email erori"
"FATAL ERROR:","EROARE FATALA. I-auzi:"
"Error Email Sender","Expeditor email erori"
"Frequency","Frecventa"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid target currency","Invalid target currency"
"State/Province","Judet"
"Currency Options","Optiuni valuta"
"Scheduled Import Settings","Scheduled Import Settings"
"Service","Service"
"Currency Setup","Setari valuta"
"Start Time","Start Time"
"Error Email Template","Template email erori"
"Unable to initialize import model","Unable to initialize import model"
"Undefined rate from ""%s-%s""","Undefined rate from ""%s-%s"""
"Currency","Valuta"
"Base currency (Currency will be used for all online payment transactions)","Valuta de baza (Currency will be used for all online payment transactions)"
"Default display currency","Valuta standard afisata"
"Your current currency is: %s","Valuta ta preferata este: %s"
"Allowed currencies","Valute acceptate"
"Installed Currencies","Valute instalate"
"Your current currency is: %s","Your current currency is: %s"
