"--Please Select--","--Alegeti--"
"<label>Make Check payable to:</label> %s","<label>Ramburs:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Ramburs</label>: %s"
"Enabled","Activat"
"Send Check to","Alte informatii"
"Send Check to:","Alte informatii:"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Card Verification Number"
"What is this?","Ce este asta?"
"Check / Money order","Check / Money order"
"Credit Card Number","Credit Card Number"
"Credit Card Number: %s","Credit Card Number: %s"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Expiration Date","Data expirarii"
"Expiration Date: %s/%s","Data expirarii: %s/%s"
"Payment Methods","Metode de plata"
"Month","Month"
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"New order status","New order status"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Purchase order","Plata ramburs"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Make Check payable to","Ramburs"
"Make Check payable to: %s","Ramburs: %s"
"Saved CC","Saved CC"
"Sort order","Sort order"
"Title","Title"
"Year","Year"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
