"Alert subscription was saved successfully","Abonarea la alerte a fost salvata."
"Alert subscription was deleted successfully","Abonarea la alerte a fost stearsa."
"Sign up for price alert","Aboneaza-te la alerte de pret"
"Sign up to get notified when this product is back in stock","Aboneaza-te pentru a fi anuntat cand reintra produsul in stoc."
"Allow alert when product comes back in stock","Accepta alerta cand reintra produsul in stoc"
"Allow alert when product price changes","Accepta alerte cand se schimba pretul produsului"
"Product price alert","Alerte de pret pentru produs"
"Product stock alert","Alerte de stoc pentru produs"
"Product Alerts","Alerte produs"
"Click here not to receive alerts for this product","Click aici sa nu primesti alerte pentru acest produs"
"Error Email Recipient","Destinatar e-mail erori"
"Unsubscribe from all price alerts","Dezaboneaza-te de la toate alertele de pret."
"Unsubscribe from all stock alerts","Dezaboneaza-te de la toate alertele de stoc."
"Error Email Sender","Expeditor e-mail erori"
"Alert Email Sender","Expeditor emailuri alerte"
"Frequency","Frecventa"
"You will no longer receive price alerts for this product","Nu vei mai primi alerte de pret pentru acest produs."
"You will no longer receive stock alerts for this product","Nu vei mai primi alerte de stoc pentru acest produs."
"You will no longer receive stock alerts","Nu vei mai primi alerte de stoc."
"Not enough parameters","Parametri insuficienti"
"Special price:","Pret special:"
"Price:","Pret:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Primesti acest anunt deoarece te-ai abonat sa primesti notificari cand urmatoarele produse isi schimba pretul:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Primesti acest anunt deoarece te-ai abonat sa primesti notificari cand urmatoarele produse reintra in stoc:"
"Product alerts Cron error","Product alerts Cron error"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Product not found","Produsul nu a fost gasit."
"Start Time","Start Time"
"Please try again later","Te rugam sa reincerci mai tarziu"
"Price alert Email Template","Template de e-mail alerte pret"
"Stock alert Email Template","Template de e-mail alerte stoc"
"Error Email Template","Template e-mail erori"
"You will no longer receive stock alerts for this product","You will no longer receive stock alerts for this product"
