"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Rating","Adauga o evaluare"
"Please select one of each ratings above","Alege cate una din evaluarile de mai sus"
"If you do not specify a rating title for a store, the default value will be used.","Daca nu specifici titlul evaluarii pentru un magazin, va fi folosita valoarea standard."
"Option Label","Eticheta optiune"
"Rating with the same title","Evaluare cu acelasi titlu"
"New Rating","Evaluare noua"
"Rating isn't Available","Evaluarea nu este disponibila"
"Be the first to review this product","Fii primul care evalueaza produsul"
"Manage Ratings","Gestioneaza evaluarile"
"ID","ID"
"Rating Information","Informatii evaluare"
"Edit Rating","Modifica evaluare"
"Rating Name","Nume evaluare"
"Assigned Options","Optiuni alocate"
"Rating Options","Optiuni evaluare"
"Save Rating","Salveaza evaluare"
"Delete Rating","Sterge evaluare"
"Rating Title","Titlu evaluare"
"Option Title","Titlu optiune"
"Option Title:","Titlu optiune:"
"Default Value","Valoare standard"
"Visible In","Visible In"
"Visible In","Vizibila in"
"Rating Visibility","Vizibilitate evaluare"
