"Allow for Guests","Accepta si pt vizitatori"
"Enabled","Activat"
"Add Recipient","Adauga destinatar"
"Email Address","Adresa de email"
"Email Address:","Adrese de email:"
"Select email template","Alege template email"
"Recipient:","Destinatar:"
"Email:","Email:"
"Some problems with data.","Exista probleme cu datele."
"Sender:","Expeditor:"
"Limit Sending By","Limiteaza trimiterile de catre"
"Link to a friend was sent.","Link-ul catre prieten fost trimis."
"Message:","Mesaj:"
"Maximum %d email addresses allowed.","Nr. maxim de adrese permise %d."
"Max Recipients","Nr. maxim de destinatari"
"Max Products Sent in 1 Hour","Nr. maxim de produse trimise in 1 ora"
"You cannot email this product to a friend","Nu poti trimite acest produs unui prieten"
"You cannot send more than %d times in an hour","Nu poti trimite mai mult de %d ori intr-o ora"
"Name","Nume"
"Name:","Nume:"
"Remove Email","Sterge email"
"Email templates","Template-uri de email"
"Send email","Trimite email"
"Send product to a friend","Trimite produsul unui prieten"
"Email to a Friend","Trimite unui prieten"
"Some emails was not sent","Unele emailuri nu au fost trimise"
"You cannot send more than %d times in an hour","You cannot send more than %d times in an hour"
