"Enabled","Activat"
"Add Sitemap","Adauga harta site"
"Sitemap generate Warnings","Alerte generare harta site"
"Yearly","Anual"
"Path","Cale"
"Error Email Recipient","Destinatar email erori"
"Error Email Sender","Expeditor email erori"
"Frequency","Frecventa"
"Google Sitemap","Google Sitemap"
"Google Sitemaps","Google Sitemaps"
"Sitemap","Harta site"
"New Sitemap","Harta site noua"
"Sitemap was successfully saved","Harta site salvata"
"Sitemap was successfully deleted","Harta site stearsa"
"This sitemap no longer exists","Harta site-ului nu mai exista"
"ID","ID"
"Start Time","Incepe la"
"Always","intotdeauna"
"Hourly","la ora"
"Link for Google","Link pentru Google"
"Monthly","Lunar"
"Manage Google Sitemaps","Manage Google Sitemaps"
"Edit Sitemap","Modifica harta site"
"Never","Niciodata"
"Unable to find a sitemap to delete","Nu s-a gasit nimic de sters"
"Filename","Nume fisier"
"Categories Options","Optiuni categorii"
"CMS Pages Options","Optiuni pagini CMS"
"Products Options","Optiuni produse"
"Priority","Prioritate"
"Priority must be between 0 and 1","Prioritatea trebuie sa fie intre 0 si 1"
"Weekly","Saptamanal"
"Generation Settings","Setari de generare"
"Error Email Template","Template email erori"
"Last Time Generated","Ultima generare"
"Store View","Vitrina"
"Yearly","Yearly"
"Daily","Zilnic"
