"-- Please Select --","-- Alege --"
"Add New Class","Adauga clasa noua"
"Add New Tax Rate","Adauga cota tva"
"Add New Tax Rule","Adauga regula de taxare"
"Please select State","Alege judetul"
"Please select County","Alege judetul"
"Please select Country","Alege tara"
"Tax class was successfully saved","Clasa de taxare a fost salvata"
"Tax class was successfully deleted","Clasa de taxare a fost stearsa"
"Customer Tax Class","Clasa de taxare client"
"Product Tax Class","Clasa de taxare produs"
"This class no longer exists","Clasa inexistenta"
"New Class","Clasa noua"
"Customer Tax Classes","Clase de taxare client"
"Product Tax Classes","Clase taxare produs"
"Zip/Post Code","Cod postal"
"Tax rate was successfully imported","Cota de taxare a fost importata"
"Tax rate was successfully saved","Cota de taxare a fost salvata"
"Tax rate was successfully deleted","Cota de taxare a fost stearsa"
"New Tax Rate","Cota noua"
"Tax Rate","Cota TVA"
"CSV","CSV"
"Incl. Tax","Cu TVA"
"Inc. Tax","Cu TVA"
"Error while saving this tax class. Class with the same name ","Eroare la salvarea clasei de taxare. Clasa are acelasi nume "
"Error while saving this tax class. Please try again later.","Eroare la salvarea clasei de taxare. Incearca mai tarziu."
"Error while saving this rate. Please try again later.","Eroare la salvarea cotei. Incearca mai tarziu."
"Error while saving this tax rule. This product tax class and customer tax class combination","Eroare la salvarea regulii de taxare. Clasa de taxare a produsului se combina naspa cu clasa de taxare client."
"Error while saving this tax rule. Please try again later.","Eroare la salvarea regulii de taxare. Incearca mai tarziu."
"Error while deleting this class. Please try again later.","Eroare la stergerea clasei. Incearca mai tarziu."
"Error while deleting this rate. Incorrect rate ID","Eroare la stergerea cotei. ID incorect"
"Error while deleting this rate. Please try again later.","Eroare la stergerea cotei. Incearca mai tarziu."
"Error while deleting this tax rule. Please try again later.","Eroare la stergerea regulii. Incearca mai tarziu."
"Are you sure you want to do this?","Esti sigur ca vrei asta?"
"Export Tax Rates","Exporta cota TVA"
"Excl. Tax","Fara TVA"
"Manage Customer Tax Classes","Gestioneaza clasele de taxare client"
"Manage Product Tax Classes","Gestioneaza clasele de taxare produs"
"Manage Tax Rates","Gestioneaza cote de taxare"
"Manage Tax Rules","Gestioneaza reguli de taxare"
"ID","ID"
"Import / Export Tax Rates","Importa / Exporta cote TVA"
"Import Tax Rates","Importa cote TVA"
"Back","Inapoi"
"Incorrect rate Data","Incorrect rate Data"
"Customer Tax Class Information","Informatii clasa de taxare client"
"Product Tax Class Information","Informatii clasa de taxare produs"
"Tax Rate Information","Informatii cota taxare"
"Tax Rule Information","Informatii regula taxare"
"Invalid data for tax rate calculation","Invalid data for tax rate calculation"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"State/Region","Judet"
"State","Judet"
"County","Judet"
"Edit Class","Modifica clasa"
"Edit Class '%s'","Modifica clasa '%s'"
"Edit Tax Rate","Modifica cota de taxare"
"Edit Rule","Modifica regula"
"NONE","nimic"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nu se poate sterge clasa, deoarece este folosita in reguli de taxare. Trebuie stearsa mai intai regula unde e folosita."
"You cannot delete this tax class as it is used for %d customer groups.","Nu se poate sterge clasa, deoarece este folosita pentru grupul de clienti %d."
"You cannot delete this tax class as it is used for %d products.","Nu se poate sterge clasa, deoarece este folosita pentru produsele %d."
"Class Name","Nume clasa"
"One of row has invalid country code.","One of row has invalid country code."
"Tax rule was successfully saved","Regula de taxare a fost salvata"
"Tax rule was successfully deleted","Regula de taxare a fost stearsa"
"This rule no longer exists","Regula inexistenta"
"New Rule","Regula noua"
"Tax Rules","Reguli taxare"
"Reset","Reseteaza"
"Save Class","Salveaza clasa"
"Save Rate","Salveaza cota"
"Save Rule","Salveaza regula"
"Delete Class","Sterge clasa"
"Delete Rate","Sterge cota"
"Delete Rule","Sterge regula"
"Country","Tara"
"Tax Rates","Tax Rates"
"Tax Rates Import / Export","Tax Rates Import / Export"
"Tax","TVA"
"Sales","Vanzari"
"XML","XML"
"Zip/Post Code","Zip/Post Code"
